Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
"Hey #Edmonton come take a ride on our very own #COVID19 petri dish - aka the Funicular.  

@yegfunicular #yeg #yegcc #COVID19AB #coronavirus #covid19canada #CoronavirusPandemic #panedmic #stayhome #stayathome #StaySafe",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290714344657784832
"Seriously, I don't know why people thought #1 that gyms were safe &amp; #2 that they were going to stay open. Idiots can't even wear a mask correctly, or won't wear one at all.

Another mad dash for equipment again...over here? We'll keep working out in our home gym.:woman_lifting_weights_medium_skin_tone::flexed_biceps_medium_skin_tone:",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282761035145809921
"T01- "" It's not always that we need to do more but rather that we need to focus on less. ""
                    •••
This resilient time of the COVID pandemic in some or the other way helped all of our souls to rest and calm down to rejuvenate healthy and pure.",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282207043697274882
"Found a whole new meaning of BC - before coronavirus! Let's fight this together, so everything we did before this retched virus can become 'after coronavirus' and only the best memories can be made:heartbeat: #StayAtHome ",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.24496276396281E+018
@MortonBalthus Thanks for following! #WritingCommunity #WearAMask,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289723088133750784
@jpierni @donwinslow #KeepYourChildHome so your family can remain free of the #TrumpVirus.,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1288655629138132994
@worldknowus @diprjk @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI @PTI_News @ddnews_jammu @ddnewsSrinagar @HealthMedicalE1 Exactly only Precautions can keep us safe.,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1289961106446802944
Why is #Florida not on lock down @GovRonDeSantis ???? You Trumpian Shill #Floridacoronavirus #TrumpPandemic #TrumpVirus #COVIDー19 #StayAtHome #WearADamnMask,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282345396786925568
"@WCTVHudak @WCTV Suspending the season is a tough solution - it is also the right one. We have to take whatever preventative steps we can to be around for each other next season. And if we are safe, we will have a next season.",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285523627086163968
@WVGovernor What's it gonna take to shut us down again? How many of us have to get sick and die until you realize we were IN FACT,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1289353088004812800
Stay at home and watch your favourite Essendon finals. There are plenty to choose from! #MightyBombers,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1281449693512232960
@ruth_wishart We are hoping to have a Scottish staycation this year. I have family in England but won't be visiting due to risks of spread. Likewise they won't be travelling north either. Plenty of beautiful places to visit in home counties for now.,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1277281196586795009
"@SenSchumer @InactionNever Not everyone wants our schools to reopen.
Not now.
Fund distance learning, please.
This virus isn't done with the United States yet.

#StayHome 
#StayAtHome",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282971632835805186
@dougducey #AZ doesn’t need a parent we need a leader.  #closerestaurants and #closecasinos now. Stop doing the same things and acting like it’s new.  We are burning and you are our Nero. #WearAMask #MaskitOrCasket #StayAtHome,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281625140929769472
#LongCovid is real. Let's not forgot about those left behind who are still suffering. Please all be careful with lockdown slowly easing- trust your gut. If something doesn't feel right don't do it- look after yourselves as the gov won't.,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1278612223070474240
"@forevergame6 Why are kids, teachers, &amp; our wonderful paraprofessionals not worth protecting?  Why are we the guinea pigs?",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1288850010264805378
"@ahmhaitham @kudanai @AdleeDeadly In Kerala State , of you dont wear the mask &amp; roam around then you'll be fined on the spot or have to go to jail for 2 years. You cannot put others life in danger !
#Covid_19",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282581730163961856
@PTI_News Take precaution. #StaySafe,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284826477460983809
@prdcanadian @MaureenShaw @Alyssa_Milano Exactly.   But with his “leadership “ managing this Coronavirus.... the. YS is # 1 for cases &amp; spreading rampantly. All Americans must,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.24341254527418E+018
"Houston, please remember to mask up, social distance, and practice proper hygiene methods.",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285091140010729472
On behalf of everyone @BottishamPri we’d like to say a huge thank you to the amazing NHS staff and key workers who are on the frontline against COVID-19 :clapping_hands_light_skin_tone: :clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone:#clapforourcarers #clapforNHS #ClapForCarers #ThankYouNHS,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.24342352914971E+018
"Just a query...
Are we still washing vegetables like we did in April..May.....!!
Are we still staying home..!!
Are we still  properly sanitizing everything ..!!",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290720515938586625
"No shadow to depress you,
Only joys to surrounded you,
God himself to bless you,
These are my wishes for you,,
Today, Tomorrow and Everyday..!!
#eidmubarak2020 
#Eid_Ul_Adha_Mubarak 
#StayAtHome",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1289513193383985152
@SLBG50 @josfelines @AngryCanuck70 I can't find anything laughable about 150k dead Americans. And we're far from the end of this pandemic.  #WearADamnMask,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1287151942754381824
"Eid mubarak to all of you. May ALLAH bless you all human &amp; animals. Plz feed the poor animal also in this pandemic situation. 
Stay safe, stay home.
#EidulAdha2020 #EidAlAdhaMubarak #EidMubarak #HappyEid",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289305972976934912
"@BremainInSpain #lockdown is a #lifechoice for some now
Enjoy the peace &amp; quiet, nature , slower pace of life 
Time to read, garden,exercise,look after ourselves
Not everyone is as fortunate  
We had a moment to change the world but not with #Tories",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282272891594211333
"A festival of love, care and responsibility. This festival came with a light of happiness in our life on time of the pandemic so guys enjoy this #Rakhdi #RakshaBandhan2020 with yours :family:. 
Be safe wear mask and enjoy this festival with your gratitude. :blush::blush:",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290171772864573440
"@MJA_Editor @BenisonOReilly @ScottMorrisonMP @GladysB 

Are you listening to the experts yet? Or is the economy still your thing? 

#auspol #StayHome",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1289364376420417536
"@abc730 @GladysB Absolute negligence!
School holidays, snow on the mountains, I don't want every man and his dog bringing the virus south #ringfenceSydneyNOW #covidnsw 
#publichealth 
#StayAtHome",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282981088839602178
@venessb @TonyBlakely_PI Also would Victorians cope with an NZ-style #lockdown: we probably would need the #ADF to help enforce as it seems we have too many not adhering to the current Stage 3 restrictions as it is!!! :mask:,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282283743793672192
"Bar owners in Texas are losing their shit at being shut down again. Welp. What were they expecting if they create crowded zones with no mitigation during a pandemic? In our state, the bar/restaurant association were partially behind the GOP shitting on our Governor's ",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1278216377552244739
@GavinNewsom 5% ?  Seriously?!  How about 1 student or staff member tests positive and the school closes for 15 days.   Without immediate test results ...  By the time 5% of  testing results are returned  positive  ... you would have a massive infection rate.  #GetSerious,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1284224494031089664
"We are now experiencing a surge in the number of infected health care workers, with two deaths already. 

Prior to Covid19, we were experiencing a shortage and this is worsening with them in quarantine.

You can help us by staying safe and staying home.",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1286666948139352064
@9NewsMelb @VictoriaPolice @DanielAndrewsMP if we have road blocks we need to be able to enforce them.  @9NewsMelb you are just encouraging others. Stop advertising the selfish people that are disobeying rules and restrictions which are keeping us locked down.,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286468840407183360
"I see that @BBCOne are still showing the people on their tandem bikes before progammes. Don't you lot not know that there is a lockdown and no one can go out right now?
#coronavirus ",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.24495913520198E+018
Trump’s utter incompetence and completely lack of empathy for human life is staggering. #COVID19 #CloseTheSchools,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290862043713724416
"@PIBBhubaneswar @PIB_India @MIB_India @MoHFW_INDIA @PMOIndia @CMO_Odisha @bmcbbsr @IPR_Odisha @HFWOdisha @BSCL_BBSR @cpbbsrctc @sardesairajdeep @MamataOfficial
Great initiative by @CMO_Odisha
@MamataOfficial @pmo &amp; all #FrontLineheros

If you want to help poor than please keep D I S T A N C E 
&amp; #Lockdown21  completely without gatherings .

#SocialDistancing is crucial.

",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.24339420751699E+018
"Moved here on May 31. COVID cases 11. As of July 9, 159 confirmed cases. But sure let's gather in groups unmasked ...",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1281695556390117376
"@BetteMidler I’d love to join you but it’s better if I stay at home also :sunglasses: 

In fact, everyone should #StayAtHome if possible &amp; help stop the spread. ",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1277006243975094273
"@sanket True that! In fact the Virus is in its much stronger avatar and it probably has learnt to adapt to the weather. This one is more dangerous than the original version.
We need more preparedness and more precautions.

#CoronaVirus",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284746895009579008
"@GavinNewsom be the Governor I thought you were and order another #StayAtHome mandate. Clearly you know the numbers, #FlattenTheCurve &amp; save #California - for your children &amp; mine! #GavinNewsom #Covid_19",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286016980529500160
"@thegoodgodabove &amp; some AHOLE from #Texas just drove all way to #Montana to start Coughing uncontrollably in next aisle over from me, heard him keep coughing until a Store Manager ASKED HIM TO LEAVE...
i counted 7 different Out-of-State Plates in 3blocks... WTF",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1286089915122323456
@FoxNews Protecting the vulnerable is a big part of the plumeting of death rates.,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1280983095257292806
"@Matthew_Xing @thehill ""During a highly infectious and deadly global pandemic maybe we want people to stay home you stupid POS.""
#DontDieForWallStreet",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287998882975105025
"#FridayFeeling 
#FridayMotivation 
:point_right::point_right:Live Today As it is Your LasT day:face_with_rolling_eyes::face_with_rolling_eyes::innocent::innocent::innocent:
#StayHomeStaySafe",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284025774983376896
A good friend is sobbing to my wife as her aunt is dying of COVID-19 because she had the nerve to get a kidney stone and have to go to a hospital. So with all due respect (which is none) fuck all of you ghouls who want to,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.25132808925623E+018
"@anushkasen_04 Happy birthday the cutest girl in the world :smiling_face_with_3_hearts::smiling_face_with_3_hearts::innocent:
.
.
.
.
.
#StayAtHome",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290531504095821829
@News24 @City_Press This is a very real danger I see in people around me. Please observe all health protocols. It could save your life.,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287611539734892544
"Will somebody ask Trump how, exactly, he, personally, will reopen the economy?

I'd really like to know what the fk he thinks he can do other than make grunting noises
#DailyBriefing #COVID19 ",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.24869064845627E+018
"#Florida @GovRonDeSantis is an irresponsible nut job. 

#Covid19 #WearAMask ",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1278313515460124672
"@abidlll @diprjk @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI @PTI_News @ddnews_jammu @ddnewsSrinagar @HealthMedicalE1 Brother we ourselves are as much responsible for our health n wellbeing.
We should follow all the guidelines wear face Masks and do our bit in this fight against Covid19.",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1281073197262139392
"COVID-19 Ireland Day 26: We applauded our health workers. A long over due reward. 
#Coronavirusireland #COVID19IRELAND #Coronacrisis ",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.24331759035888E+018
"@DrAlGrossAK #Alaska opens up, allows visitors and GUESS what happens:exclamation_question_mark_selector: #COVID19 #SURGE #WTF Where is “Leadership” taking us - to the #Morgue :exclamation_question_mark_selector::scream:#WearAMask",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282561458694283264
"@DDNational Great initiative now to #breakdown  #COVID19 by #Lockdown21 completely.

",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.24339632145465E+018
"Extremely concerned to hear about the news of Shri @SrBachchan Ji &amp; @juniorbachchan testing COVID Positive. My prayers for their speedy &amp; safe recovery. We look forward to seeing them hale and hearty. 
Once Again my appeal to everyone - #WearAMask",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282025875425202176
Covid19 is real. I just lost cousing brother now.,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1277287040346882048
"@TMZ @TooFab I feel bad for people that get this virus, but also your an idiot to act like your invincible and that your not going to get it or that it's the flu. It's not the fucking flu people. #WearADamnMask, #StaySafe, #StayHealthy, and",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287621411301986304
"I hate that I have to add the words “When we get to meet each other....” talking to some of my closest friends. 
#WearAMask #WearADamnMask",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290618140079030272
Can @NAkufoAddo please lockdown. At this point it is the right call!,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1280169600387362816
"It's been a while, since the world is taken over by a pandemic like situation, unheard and unseen like never before, in these testing times let us all make a effort to protect ourselves and help our communities to move ahead safely @ConcordiaAlumni",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1283413496722382848
"@SenMcSallyAZ HAS FAILED #Arizona #ArizonaCovid19 

#MaskItOrCasket #WearAMask ",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1278542530494124032
"If elderly people were asked to stay home to protect the younger generation from a virus, they would; it is sad that the younger generation cannot offer that same respect in reverse. 
#COVID19 #Covid19AZ #CoronavirusAZ #MaskUpAZ #WearAMask #StayAtHome ",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.27273509220548E+018
For anyone who thinks covid is just a virus. I almost died from a flare up of a virus I caught as a baby. . . 45 years later. We have no idea what the long term repercussions of Covid might be. #MaskUp #SocialDistancing,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282191758940680193
We had a fruitful discussion on additional safety and security measures to better protect #ProudMakatizens against COVID-19.,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1285892711724261377
@abdtoday It will be a better plan if lockdown extended till new additions became less than 50 to 75 at least. #Lockdown #Aurangabad #StayHomeStaySafe,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282375864202571777
@Allison_Burnett What about the teachers? How long are the teachers going to last in this environment? #resist,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290193612412616709
@globeandmail #MaskUp #PhysicalDistancing  or it’s back to,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1277622357180497926
"We are all staring at Covid 19 as climate change continues to wreak havoc.:sneezing_face:

 We must even survive if we want to save the planet :sweat_smile: so #StayAtHome. 

#ClimateChange",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1281042919051481089
"Why can't people just think of others and do the right thing?  PLEASE! It's not hard. COVID19 is not a game. 

The more we work together the sooner this ends 

#COVID19Vic #MaskUpMelbourne",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1290463823590236161
"Remember to wash your hands, wear a face mask and keep social distance. COVID19 is real.",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290151785869393920
"The objectives of the Victorian government's measures are twofold:
- to reduce the number of people moving around
- to reduce workplace transmissions
These goals need to be kept in mind by all of us or we'll be in ""lockdown"" for longer than we need to.",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290840885379231744
We are going to a very crucial stage of COVID-19      #BeSafe,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286488406961397760
@TcameronTodd Wow... I’m speechless :no_mouth: zero empathy or compassion let alone understanding what this virus truly is! I wondered if her tune would be different if she or one of her loved ones caught the virus .... #noclue #nocompassion #MaskupMelbourne #CovidVic,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1287539022126964736
"@SummerSongGirl Exactly.. our healthcare system is maxed out because people can follow guidelines to save their lives

#WearAMask",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1285109388248842242
Before and after/That's how I see my life now/Coronavirus #haiku #haikuchallenge #micropoetry #poetry #before #beforeandafter #CoronavirusPandemic #ShelterInPlace #WearADamnMask,support,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1283025963090149376
"Stay safe before staying alert! &amp; don’t be going to your local for a cheeky pint, even if people are acting like it’s over.............it ain’t x",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1281368630790414336
Looking forward to embracing my new role tomorrow within the Community Rapid Intervention Service and getting back to what I do best. @CrisRapid #Nursing #StayAtHome,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284869113370812416
"Wear a mask, stay at home and clean up after visiting the beach.
Keepin it real as my top friend @FatBoyNunn would say.
#dontbeachump",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287418486638206976
"#coronavirus is going to keep surging if we don’t listen to the advice and follow the guidelines. Yes it’s boring, restricting but many people’s lives depend on it.",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1289244040903491584
"Let that be a lesson to us “civilised” civilly disobedient twats: when you behave like absolute barbarous hooligans, you get results with government. Just ask SADTU and the Taxi industry. We should learn from them. #cyrilramaphosa #LockdownSA",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1286365208433360896
@ericgarcetti Mr. Mayor it is time to shut it down please help us. Save us from our selves,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285957248976486400
Free cure: Stay the f**k at home #StayAtHome,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284823021107269632
"@GavinNewsom I get that you’re scared of your very rich donors getting upset about a short term shutdown delaying their obscene profits, but the rest of us are scared of losing our lives or being bankrupted by the healthcare costs associated w/ COVID-19. #ShutdownCA",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285058193341603840
"Guys PLEASE, idk how much I can stress this but PLEASE!!! Stay y’all asses at home, wear y’all masks, wash your hands and sanitize your surroundings, I got COVID-19 and this is a Nightmare.",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1287823257354358790
"It is all about our life, for our safety..  Please stay home.. That's the only way we can fight against  the pandemic #Covide-19.
Please and please",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289166307724673025
@GovMikeDeWine Now please close bars &amp; indoor dining,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1288102937462439936
"Remember Eid will come again, 
No need to risk life. 
#StayAtHome",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1288413384405180419
"DON'T RELY ABSOLUTELY 
on N95 , sanitizer or PPE 

Only guarantee for covid-19 prevention is social distancing

Avoid crowds in any means",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1283592731281911809
"@ProjectLincoln There is no vaccine
This is 1918
Wear a mask
Social distance
And keep your hands clean

#StayHome 
#StayAtHome",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283385457372311553
"Sending thanks and warm thoughts to all of you who are working through these challenging times.Being on the frontline isn’t easy, but it is very much appreciated.#StayAtHome",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290111252828581888
